100 200
Prof_36: Stu_162
Prof_36: Stu_60
Prof_36: Stu_54
Prof_36: Stu_2
Prof_36: Stu_183
Prof_36: Stu_165
Prof_36: Stu_154
Prof_36: Stu_168
Prof_37: Stu_125
Prof_37: Stu_56
Prof_37: Stu_166
Prof_37: Stu_99
Prof_37: Stu_12
Prof_37: Stu_90
Prof_37: Stu_146
Prof_37: Stu_80
Prof_38: Stu_173
Prof_38: Stu_101
Prof_38: Stu_24
Prof_38: Stu_146
Prof_39: Stu_114
Prof_39: Stu_155
Prof_39: Stu_8
Prof_39: Stu_124
Prof_39: Stu_157
Prof_39: Stu_193
Prof_39: Stu_145
Prof_40: Stu_31
Prof_40: Stu_135
Prof_40: Stu_136
Prof_40: Stu_79
Prof_40: Stu_115
Prof_41: Stu_122
Prof_41: Stu_149
Prof_41: Stu_4
Prof_41: Stu_188
Prof_41: Stu_127
Prof_41: Stu_51
Prof_42: Stu_195
Prof_42: Stu_167
Prof_42: Stu_153
Prof_42: Stu_87
Prof_42: Stu_18
Prof_42: Stu_72
Prof_42: Stu_121
Prof_42: Stu_181
Prof_43: Stu_132
Prof_43: Stu_26
Prof_43: Stu_56
Prof_44: Stu_116
Prof_44: Stu_97
Prof_45: Stu_175
Prof_45: Stu_193
Prof_46: Stu_176
Prof_46: Stu_50
Prof_47: Stu_84
Prof_47: Stu_137
Prof_47: Stu_72
Prof_47: Stu_114
Prof_47: Stu_100
Prof_47: Stu_22
Prof_47: Stu_62
Prof_47: Stu_124
Prof_48: Stu_191
Prof_48: Stu_94
Prof_48: Stu_103
Prof_48: Stu_54
Prof_48: Stu_185
Prof_48: Stu_99
Prof_48: Stu_16
Prof_48: Stu_96
Prof_48: Stu_115
Prof_49: Stu_40
Prof_49: Stu_105
Prof_49: Stu_2
Prof_50: Stu_39
Prof_51: Stu_35
Prof_51: Stu_122
Prof_51: Stu_164
Prof_51: Stu_7
Prof_51: Stu_46
Prof_51: Stu_38
Prof_51: Stu_49
Prof_52: Stu_55
Prof_52: Stu_135
Prof_52: Stu_157
Prof_52: Stu_160
Prof_52: Stu_139
Prof_52: Stu_69
Prof_52: Stu_28
Prof_52: Stu_76
Prof_53: Stu_1
Prof_53: Stu_101
Prof_53: Stu_39
Prof_53: Stu_24
Prof_53: Stu_78
Prof_53: Stu_6
Prof_53: Stu_79
Prof_53: Stu_44
Prof_54: Stu_22
Prof_54: Stu_2
Prof_54: Stu_100
Prof_55: Stu_190
Prof_56: Stu_142
Prof_56: Stu_156
Prof_56: Stu_138
Prof_56: Stu_86
Prof_56: Stu_79
Prof_56: Stu_107
Prof_56: Stu_19
Prof_56: Stu_5
Prof_57: Stu_18
Prof_57: Stu_109
Prof_57: Stu_70
Prof_57: Stu_4
Prof_57: Stu_180
Prof_57: Stu_35
Prof_58: Stu_51
Prof_58: Stu_147
Prof_58: Stu_96
Prof_59: Stu_164
Prof_59: Stu_31
Prof_59: Stu_13
Prof_59: Stu_7
Prof_60: Stu_162
Prof_60: Stu_96
Prof_60: Stu_187
Prof_60: Stu_24
Prof_60: Stu_173
Prof_60: Stu_171
Prof_60: Stu_14
Prof_60: Stu_73
Prof_60: Stu_138
Prof_61: Stu_28
Prof_61: Stu_147
Prof_61: Stu_90
Prof_62: Stu_83
Prof_62: Stu_33
Prof_62: Stu_89
Prof_62: Stu_155
Prof_62: Stu_173
Prof_62: Stu_69
Prof_63: Stu_200
Prof_63: Stu_122
Prof_63: Stu_11
Prof_63: Stu_19
Prof_63: Stu_183
Prof_63: Stu_141
Prof_63: Stu_98
Prof_63: Stu_114
Prof_63: Stu_140
Prof_64: Stu_185
Prof_64: Stu_1
Prof_64: Stu_181
Prof_64: Stu_164
Prof_64: Stu_90
Prof_64: Stu_50
Prof_64: Stu_97
Prof_64: Stu_95
Prof_64: Stu_165
Prof_64: Stu_176
Prof_65: Stu_17
Prof_65: Stu_152
Prof_65: Stu_115
Prof_65: Stu_64
Prof_65: Stu_78
Prof_65: Stu_1
Prof_65: Stu_144
Prof_65: Stu_86
Prof_65: Stu_194
Prof_65: Stu_118
Prof_66: Stu_3
Prof_66: Stu_53
Prof_66: Stu_35
Prof_67: Stu_193
Prof_67: Stu_175
Prof_67: Stu_106
Prof_67: Stu_19
Prof_67: Stu_50
Prof_67: Stu_41
Prof_67: Stu_35
Prof_67: Stu_101
Prof_68: Stu_65
Prof_68: Stu_196
Prof_69: Stu_25
Prof_69: Stu_192
Prof_69: Stu_132
Prof_69: Stu_178
Prof_69: Stu_121
Prof_69: Stu_160
Prof_70: Stu_126
Prof_70: Stu_109
Prof_70: Stu_167
Prof_70: Stu_105
Prof_70: Stu_183
Prof_70: Stu_77
Prof_70: Stu_40
Prof_70: Stu_15
Prof_71: Stu_101
Prof_71: Stu_66
Prof_72: Stu_183
Prof_72: Stu_50
Prof_72: Stu_86
Prof_72: Stu_170
Prof_72: Stu_62
Prof_72: Stu_59
Prof_72: Stu_147
Prof_73: Stu_108
Prof_73: Stu_97
Prof_73: Stu_148
Prof_73: Stu_85
Prof_73: Stu_190
Prof_73: Stu_141
Prof_74: Stu_51
Prof_74: Stu_103
Prof_74: Stu_122
Prof_75: Stu_39
Prof_75: Stu_50
Prof_75: Stu_175
Prof_75: Stu_34
Prof_75: Stu_78
Prof_75: Stu_85
Prof_75: Stu_105
Prof_76: Stu_16
Prof_76: Stu_39
Prof_77: Stu_82
Prof_77: Stu_48
Prof_77: Stu_93
Prof_77: Stu_171
Prof_77: Stu_78
Prof_77: Stu_58
Prof_77: Stu_104
Prof_77: Stu_161
Prof_77: Stu_115
Prof_77: Stu_39
Prof_78: Stu_168
Prof_78: Stu_165
Prof_78: Stu_189
Prof_78: Stu_156
Prof_78: Stu_13
Prof_78: Stu_155
Prof_78: Stu_10
Prof_79: Stu_101
Prof_79: Stu_61
Prof_79: Stu_15
Prof_79: Stu_120
Prof_79: Stu_63
Prof_79: Stu_79
Prof_79: Stu_173
Prof_80: Stu_58
Prof_80: Stu_75
Prof_80: Stu_170
Prof_80: Stu_168
Prof_80: Stu_102
Prof_80: Stu_34
Prof_81: Stu_89
Prof_81: Stu_183
Prof_82: Stu_27
Prof_82: Stu_99
Prof_82: Stu_130
Prof_82: Stu_8
Prof_82: Stu_186
Prof_82: Stu_74
Prof_82: Stu_25
Prof_82: Stu_129
Prof_83: Stu_78
Prof_83: Stu_155
Prof_83: Stu_149
Prof_83: Stu_44
Prof_84: Stu_111
Prof_84: Stu_10
Prof_84: Stu_97
Prof_84: Stu_50
Prof_84: Stu_15
Prof_84: Stu_154
Prof_85: Stu_190
Prof_85: Stu_96
Prof_85: Stu_49
Prof_85: Stu_74
Prof_85: Stu_114
Prof_85: Stu_87
Prof_85: Stu_180
Prof_85: Stu_127
Prof_85: Stu_105
Prof_86: Stu_6
Prof_86: Stu_195
Prof_86: Stu_93
Prof_86: Stu_153
Prof_86: Stu_36
Prof_86: Stu_50
Prof_86: Stu_27
Prof_87: Stu_74
Prof_87: Stu_112
Prof_87: Stu_54
Prof_87: Stu_156
Prof_87: Stu_173
Prof_87: Stu_59
Prof_87: Stu_117
Prof_88: Stu_173
Prof_88: Stu_43
Prof_88: Stu_15
Prof_88: Stu_149
Prof_88: Stu_144
Prof_88: Stu_153
Prof_89: Stu_186
Prof_89: Stu_89
Prof_89: Stu_164
Prof_89: Stu_122
Prof_90: Stu_60
Prof_90: Stu_119
Prof_90: Stu_70
Prof_90: Stu_130
Prof_90: Stu_169
Prof_90: Stu_38
Prof_91: Stu_36
Prof_91: Stu_80
Prof_91: Stu_179
Prof_91: Stu_31
Prof_91: Stu_88
Prof_91: Stu_103
Prof_91: Stu_167
Prof_91: Stu_123
Prof_91: Stu_9
Prof_92: Stu_133
Prof_93: Stu_59
Prof_93: Stu_184
Prof_93: Stu_144
Prof_94: Stu_62
Prof_95: Stu_198
Prof_95: Stu_70
Prof_95: Stu_132
Prof_95: Stu_29
Prof_95: Stu_183
Prof_95: Stu_159
Prof_95: Stu_188
Prof_95: Stu_117
Prof_95: Stu_33
Prof_95: Stu_150
Prof_96: Stu_169
Prof_96: Stu_177
Prof_96: Stu_155
Prof_96: Stu_43
Prof_96: Stu_100
Prof_96: Stu_48
Prof_96: Stu_79
Prof_96: Stu_145
Prof_96: Stu_57
Prof_96: Stu_115
Prof_97: Stu_155
Prof_97: Stu_49
Prof_98: Stu_84
Prof_98: Stu_47
Prof_98: Stu_186
Prof_99: Stu_199
Prof_99: Stu_91
Prof_99: Stu_144
Prof_99: Stu_183
Prof_99: Stu_46
Prof_100: Stu_163
Prof_100: Stu_147
Prof_100: Stu_76
Prof_100: Stu_137
Prof_100: Stu_63
Prof_100: Stu_13
Prof_100: Stu_24
Prof_100: Stu_23
